job_id,time_submitted,status,walltime,competition_sd,immigration_rate,replicate,f,daisie_version,ddmodel,params_i,runtime,nb_clades,nb_cpus
24434500,NA,FAILED,NA,0.091,1e-4,15,1,IW,11,1,NA,NA,4
24434501,NA,FAILED,NA,0.091,1e-4,16,1,IW,11,1,NA,NA,4
24434502,NA,FAILED,NA,0.091,1e-4,17,1,IW,11,1,NA,NA,4
24434503,NA,FAILED,NA,0.091,1e-4,18,1,IW,11,1,NA,NA,4
24434504,NA,FAILED,NA,0.091,1e-4,19,1,IW,11,1,NA,NA,4
24434505,NA,FAILED,NA,0.091,1e-4,20,1,IW,11,1,NA,NA,4
24434506,NA,FAILED,NA,0.091,1e-4,21,1,IW,11,1,NA,NA,4
24434507,NA,FAILED,NA,0.091,1e-4,22,1,IW,11,1,NA,NA,4
24434508,NA,FAILED,NA,0.091,1e-4,23,1,IW,11,1,NA,NA,4
24434509,NA,FAILED,NA,0.091,1e-4,24,1,IW,11,1,NA,NA,4
24434510,NA,FAILED,NA,0.091,1e-4,25,1,IW,11,1,NA,NA,4
24434511,NA,FAILED,NA,0.091,1e-4,26,1,IW,11,1,NA,NA,4
24434512,NA,FAILED,NA,0.091,1e-4,27,1,IW,11,1,NA,NA,4
24434513,NA,FAILED,NA,0.091,1e-4,28,1,IW,11,1,NA,NA,4
24434514,NA,FAILED,NA,0.091,1e-4,29,1,IW,11,1,NA,NA,4
24434515,NA,FAILED,NA,0.091,1e-4,30,1,IW,11,1,NA,NA,4
24434517,NA,FAILED,NA,0.091,1e-4,32,1,IW,11,1,NA,NA,4
24434516,NA,FAILED,NA,0.091,1e-4,31,1,IW,11,1,NA,NA,4
24434519,NA,FAILED,NA,0.091,1e-4,34,1,IW,11,1,NA,NA,4
24434518,NA,FAILED,NA,0.091,1e-4,33,1,IW,11,1,NA,NA,4
24434520,NA,FAILED,NA,0.091,1e-4,35,1,IW,11,1,NA,NA,4
24434521,NA,FAILED,NA,0.091,1e-4,36,1,IW,11,1,NA,NA,4
24434522,NA,FAILED,NA,0.091,1e-4,37,1,IW,11,1,NA,NA,4
24434523,NA,FAILED,NA,0.091,1e-4,38,1,IW,11,1,NA,NA,4
24434524,NA,FAILED,NA,0.091,1e-4,39,1,IW,11,1,NA,NA,4
24434525,NA,FAILED,NA,0.091,1e-4,40,1,IW,11,1,NA,NA,4
24434526,NA,FAILED,NA,0.091,1e-4,41,1,IW,11,1,NA,NA,4
24434527,NA,FAILED,NA,0.091,1e-4,42,1,IW,11,1,NA,NA,4
24434528,NA,FAILED,NA,0.091,1e-4,43,1,IW,11,1,NA,NA,4
24434529,NA,FAILED,NA,0.091,1e-4,44,1,IW,11,1,NA,NA,4
24434530,NA,FAILED,NA,0.091,1e-4,45,1,IW,11,1,NA,NA,4
24434531,NA,FAILED,NA,0.091,1e-4,46,1,IW,11,1,NA,NA,4
24434532,NA,FAILED,NA,0.091,1e-4,47,1,IW,11,1,NA,NA,4
24434533,NA,FAILED,NA,0.091,1e-4,48,1,IW,11,1,NA,NA,4
24434534,NA,FAILED,NA,0.091,1e-4,49,1,IW,11,1,NA,NA,4
24434535,NA,FAILED,NA,0.091,1e-4,50,1,IW,11,1,NA,NA,4
24434536,NA,FAILED,NA,0.091,1e-4,51,1,IW,11,1,NA,NA,4
24434537,NA,FAILED,NA,0.091,1e-4,52,1,IW,11,1,NA,NA,4
24434538,NA,FAILED,NA,0.091,1e-4,53,1,IW,11,1,NA,NA,4
24434539,NA,FAILED,NA,0.091,1e-4,54,1,IW,11,1,NA,NA,4
24434540,NA,FAILED,NA,0.091,1e-4,55,1,IW,11,1,NA,NA,4
24434541,NA,FAILED,NA,0.091,1e-4,56,1,IW,11,1,NA,NA,4
24434542,NA,FAILED,NA,0.091,1e-4,57,1,IW,11,1,NA,NA,4
24434543,NA,FAILED,NA,0.091,1e-4,58,1,IW,11,1,NA,NA,4
24434544,NA,FAILED,NA,0.091,1e-4,59,1,IW,11,1,NA,NA,4
24434545,NA,FAILED,NA,0.091,1e-4,60,1,IW,11,1,NA,NA,4
24434546,NA,FAILED,NA,0.091,1e-4,61,1,IW,11,1,NA,NA,4
24434547,NA,FAILED,NA,0.091,1e-4,62,1,IW,11,1,NA,NA,4
24434548,NA,FAILED,NA,0.091,1e-4,63,1,IW,11,1,NA,NA,4
24434549,NA,FAILED,NA,0.091,1e-4,64,1,IW,11,1,NA,NA,4
24434550,NA,FAILED,NA,0.091,1e-4,65,1,IW,11,1,NA,NA,4
24434551,NA,FAILED,NA,0.091,1e-4,66,1,IW,11,1,NA,NA,4
24434552,NA,FAILED,NA,0.091,1e-4,67,1,IW,11,1,NA,NA,4
24434553,NA,FAILED,NA,0.091,1e-4,68,1,IW,11,1,NA,NA,4
24434554,NA,FAILED,NA,0.091,1e-4,69,1,IW,11,1,NA,NA,4
24434556,NA,FAILED,NA,0.091,1e-4,71,1,IW,11,1,NA,NA,4
24434555,NA,FAILED,NA,0.091,1e-4,70,1,IW,11,1,NA,NA,4
24434557,NA,FAILED,NA,0.091,1e-4,72,1,IW,11,1,NA,NA,4
24434558,NA,FAILED,NA,0.091,1e-4,73,1,IW,11,1,NA,NA,4
24434559,NA,FAILED,NA,0.091,1e-4,74,1,IW,11,1,NA,NA,4
24434560,NA,FAILED,NA,0.091,1e-4,75,1,IW,11,1,NA,NA,4
24434561,NA,FAILED,NA,0.091,1e-4,76,1,IW,11,1,NA,NA,4
24434562,NA,FAILED,NA,0.091,1e-4,77,1,IW,11,1,NA,NA,4
24434563,NA,FAILED,NA,0.091,1e-4,78,1,IW,11,1,NA,NA,4
24434564,NA,FAILED,NA,0.091,1e-4,79,1,IW,11,1,NA,NA,4
24434565,NA,FAILED,NA,0.091,1e-4,80,1,IW,11,1,NA,NA,4
24434566,NA,FAILED,NA,0.091,1e-4,81,1,IW,11,1,NA,NA,4
24434567,NA,FAILED,NA,0.091,1e-4,82,1,IW,11,1,NA,NA,4
24434568,NA,FAILED,NA,0.091,1e-4,83,1,IW,11,1,NA,NA,4
24434569,NA,FAILED,NA,0.091,1e-4,84,1,IW,11,1,NA,NA,4
24434570,NA,FAILED,NA,0.091,1e-4,85,1,IW,11,1,NA,NA,4
24434571,NA,FAILED,NA,0.091,1e-4,86,1,IW,11,1,NA,NA,4
24434572,NA,FAILED,NA,0.091,1e-4,87,1,IW,11,1,NA,NA,4
24434573,NA,FAILED,NA,0.091,1e-4,88,1,IW,11,1,NA,NA,4
24434574,NA,FAILED,NA,0.091,1e-4,89,1,IW,11,1,NA,NA,4
24434575,NA,FAILED,NA,0.091,1e-4,90,1,IW,11,1,NA,NA,4
24434576,NA,FAILED,NA,0.091,1e-4,91,1,IW,11,1,NA,NA,4
24434577,NA,FAILED,NA,0.091,1e-4,92,1,IW,11,1,NA,NA,4
24434578,NA,FAILED,NA,0.091,1e-4,93,1,IW,11,1,NA,NA,4
24434579,NA,FAILED,NA,0.091,1e-4,94,1,IW,11,1,NA,NA,4
24434580,NA,FAILED,NA,0.091,1e-4,95,1,IW,11,1,NA,NA,4
24434581,NA,FAILED,NA,0.091,1e-4,96,1,IW,11,1,NA,NA,4
24434582,NA,FAILED,NA,0.091,1e-4,97,1,IW,11,1,NA,NA,4
24434583,NA,FAILED,NA,0.091,1e-4,98,1,IW,11,1,NA,NA,4
24434584,NA,FAILED,NA,0.091,1e-4,99,1,IW,11,1,NA,NA,4
24434585,NA,FAILED,NA,0.091,1e-4,100,1,IW,11,1,NA,NA,4
24458232,NA,COMPLETED,NA,0.369,1e-4,1,1,IW,11,1,01:48:17,NA,4
24458233,NA,COMPLETED,NA,0.369,1e-4,2,1,IW,11,1,00:32:55,NA,4
24458234,NA,COMPLETED,NA,0.369,1e-4,3,1,IW,11,1,00:37:54,NA,4
24458235,NA,COMPLETED,NA,0.369,1e-4,4,1,IW,11,1,01:00:02,NA,4
24458236,NA,COMPLETED,NA,0.369,1e-4,5,1,IW,11,1,00:40:04,NA,4
24458237,NA,COMPLETED,NA,0.369,1e-4,6,1,IW,11,1,00:53:02,NA,4
24458238,NA,COMPLETED,NA,0.369,1e-4,7,1,IW,11,1,00:37:43,NA,4
24458239,NA,COMPLETED,NA,0.369,1e-4,8,1,IW,11,1,01:28:32,NA,4
24458240,NA,COMPLETED,NA,0.369,1e-4,9,1,IW,11,1,00:17:44,NA,4
24458241,NA,COMPLETED,NA,0.369,1e-4,10,1,IW,11,1,00:19:29,NA,4
24458242,NA,COMPLETED,NA,0.369,1e-4,11,1,IW,11,1,00:32:20,NA,4
24458243,NA,COMPLETED,NA,0.369,1e-4,12,1,IW,11,1,01:48:41,NA,4
24458244,NA,COMPLETED,NA,0.369,1e-4,13,1,IW,11,1,00:14:06,NA,4
24458245,NA,COMPLETED,NA,0.369,1e-4,14,1,IW,11,1,00:57:48,NA,4
24458246,NA,COMPLETED,NA,0.369,1e-4,15,1,IW,11,1,00:16:53,NA,4
24458247,NA,COMPLETED,NA,0.369,1e-4,16,1,IW,11,1,00:36:31,NA,4
24458248,NA,COMPLETED,NA,0.369,1e-4,17,1,IW,11,1,01:32:04,NA,4
24458249,NA,COMPLETED,NA,0.369,1e-4,18,1,IW,11,1,00:38:08,NA,4
24458250,NA,COMPLETED,NA,0.369,1e-4,19,1,IW,11,1,00:34:20,NA,4
24458251,NA,COMPLETED,NA,0.369,1e-4,20,1,IW,11,1,00:38:32,NA,4
24458252,NA,COMPLETED,NA,0.369,1e-4,21,1,IW,11,1,00:24:15,NA,4
24458253,NA,COMPLETED,NA,0.369,1e-4,22,1,IW,11,1,00:18:11,NA,4
24458254,NA,COMPLETED,NA,0.369,1e-4,23,1,IW,11,1,00:56:38,NA,4
24458255,NA,COMPLETED,NA,0.369,1e-4,24,1,IW,11,1,00:15:13,NA,4
24458256,NA,COMPLETED,NA,0.369,1e-4,25,1,IW,11,1,00:34:46,NA,4
24458257,NA,COMPLETED,NA,0.369,1e-4,26,1,IW,11,1,00:13:44,NA,4
24458258,NA,COMPLETED,NA,0.369,1e-4,27,1,IW,11,1,01:10:57,NA,4
24458259,NA,COMPLETED,NA,0.369,1e-4,28,1,IW,11,1,00:49:07,NA,4
24458260,NA,COMPLETED,NA,0.369,1e-4,29,1,IW,11,1,01:31:14,NA,4
24458261,NA,COMPLETED,NA,0.369,1e-4,30,1,IW,11,1,00:27:44,NA,4
24458262,NA,COMPLETED,NA,0.369,1e-4,31,1,IW,11,1,00:15:26,NA,4
24458263,NA,COMPLETED,NA,0.369,1e-4,32,1,IW,11,1,00:22:15,NA,4
24458264,NA,COMPLETED,NA,0.369,1e-4,33,1,IW,11,1,02:31:58,NA,4
24458265,NA,COMPLETED,NA,0.369,1e-4,34,1,IW,11,1,01:32:12,NA,4
24458266,NA,COMPLETED,NA,0.369,1e-4,35,1,IW,11,1,00:41:57,NA,4
24458267,NA,COMPLETED,NA,0.369,1e-4,36,1,IW,11,1,00:15:40,NA,4
24458268,NA,COMPLETED,NA,0.369,1e-4,37,1,IW,11,1,01:02:41,NA,4
24458269,NA,COMPLETED,NA,0.369,1e-4,38,1,IW,11,1,00:33:27,NA,4
24458270,NA,COMPLETED,NA,0.369,1e-4,39,1,IW,11,1,00:13:27,NA,4
24458271,NA,COMPLETED,NA,0.369,1e-4,40,1,IW,11,1,01:14:10,NA,4
24458272,NA,RUNNING,NA,0.369,1e-4,41,1,IW,11,1,5-00:59:04,NA,4
24458273,NA,COMPLETED,NA,0.369,1e-4,42,1,IW,11,1,00:56:07,NA,4
24458274,NA,COMPLETED,NA,0.369,1e-4,43,1,IW,11,1,00:16:36,NA,4
24458275,NA,COMPLETED,NA,0.369,1e-4,44,1,IW,11,1,00:00:13,NA,4
24458276,NA,COMPLETED,NA,0.369,1e-4,45,1,IW,11,1,01:39:24,NA,4
24458277,NA,COMPLETED,NA,0.369,1e-4,46,1,IW,11,1,00:36:53,NA,4
24458278,NA,COMPLETED,NA,0.369,1e-4,47,1,IW,11,1,01:49:25,NA,4
24458279,NA,COMPLETED,NA,0.369,1e-4,48,1,IW,11,1,00:55:24,NA,4
24458280,NA,COMPLETED,NA,0.369,1e-4,49,1,IW,11,1,00:56:45,NA,4
24458281,NA,COMPLETED,NA,0.369,1e-4,50,1,IW,11,1,01:16:40,NA,4
24458282,NA,COMPLETED,NA,0.369,1e-4,51,1,IW,11,1,04:45:27,NA,4
24458283,NA,COMPLETED,NA,0.369,1e-4,52,1,IW,11,1,01:54:57,NA,4
24458284,NA,COMPLETED,NA,0.369,1e-4,53,1,IW,11,1,00:29:41,NA,4
24458285,NA,COMPLETED,NA,0.369,1e-4,54,1,IW,11,1,01:12:51,NA,4
24458287,NA,COMPLETED,NA,0.369,1e-4,56,1,IW,11,1,00:47:25,NA,4
24458286,NA,COMPLETED,NA,0.369,1e-4,55,1,IW,11,1,00:30:08,NA,4
24458288,NA,COMPLETED,NA,0.369,1e-4,57,1,IW,11,1,00:19:23,NA,4
24458289,NA,COMPLETED,NA,0.369,1e-4,58,1,IW,11,1,00:36:32,NA,4
24458290,NA,COMPLETED,NA,0.369,1e-4,59,1,IW,11,1,00:23:09,NA,4
24458291,NA,COMPLETED,NA,0.369,1e-4,60,1,IW,11,1,00:40:41,NA,4
24458292,NA,COMPLETED,NA,0.369,1e-4,61,1,IW,11,1,00:22:12,NA,4
24458293,NA,COMPLETED,NA,0.369,1e-4,62,1,IW,11,1,00:22:26,NA,4
24458294,NA,COMPLETED,NA,0.369,1e-4,63,1,IW,11,1,00:39:19,NA,4
24458295,NA,COMPLETED,NA,0.369,1e-4,64,1,IW,11,1,00:30:45,NA,4
24458296,NA,COMPLETED,NA,0.369,1e-4,65,1,IW,11,1,04:29:00,NA,4
24458297,NA,COMPLETED,NA,0.369,1e-4,66,1,IW,11,1,00:33:04,NA,4
24458298,NA,COMPLETED,NA,0.369,1e-4,67,1,IW,11,1,00:42:08,NA,4
24458299,NA,COMPLETED,NA,0.369,1e-4,68,1,IW,11,1,01:11:58,NA,4
24458300,NA,COMPLETED,NA,0.369,1e-4,69,1,IW,11,1,01:11:56,NA,4
24458301,NA,COMPLETED,NA,0.369,1e-4,70,1,IW,11,1,01:39:03,NA,4
24458302,NA,COMPLETED,NA,0.369,1e-4,71,1,IW,11,1,00:35:08,NA,4
24458303,NA,COMPLETED,NA,0.369,1e-4,72,1,IW,11,1,00:58:04,NA,4
24458304,NA,COMPLETED,NA,0.369,1e-4,73,1,IW,11,1,00:18:58,NA,4
24458305,NA,COMPLETED,NA,0.369,1e-4,74,1,IW,11,1,01:10:58,NA,4
24458306,NA,COMPLETED,NA,0.369,1e-4,75,1,IW,11,1,00:44:05,NA,4
24458307,NA,COMPLETED,NA,0.369,1e-4,76,1,IW,11,1,02:40:31,NA,4
24458308,NA,COMPLETED,NA,0.369,1e-4,77,1,IW,11,1,00:25:47,NA,4
24458309,NA,COMPLETED,NA,0.369,1e-4,78,1,IW,11,1,00:22:36,NA,4
24458310,NA,COMPLETED,NA,0.369,1e-4,79,1,IW,11,1,00:52:52,NA,4
24458311,NA,COMPLETED,NA,0.369,1e-4,80,1,IW,11,1,00:38:02,NA,4
24458312,NA,COMPLETED,NA,0.369,1e-4,81,1,IW,11,1,00:36:19,NA,4
24458313,NA,COMPLETED,NA,0.369,1e-4,82,1,IW,11,1,00:30:26,NA,4
24458314,NA,COMPLETED,NA,0.369,1e-4,83,1,IW,11,1,00:57:52,NA,4
24458315,NA,COMPLETED,NA,0.369,1e-4,84,1,IW,11,1,01:06:24,NA,4
24458316,NA,COMPLETED,NA,0.369,1e-4,85,1,IW,11,1,02:11:46,NA,4
24458317,NA,COMPLETED,NA,0.369,1e-4,86,1,IW,11,1,00:28:16,NA,4
24458318,NA,RUNNING,NA,0.369,1e-4,87,1,IW,11,1,4-23:45:20,NA,4
24458319,NA,COMPLETED,NA,0.369,1e-4,88,1,IW,11,1,01:19:06,NA,4
24458320,NA,COMPLETED,NA,0.369,1e-4,89,1,IW,11,1,00:31:48,NA,4
24458321,NA,COMPLETED,NA,0.369,1e-4,90,1,IW,11,1,00:12:28,NA,4
24458324,NA,COMPLETED,NA,0.369,1e-4,93,1,IW,11,1,00:43:47,NA,4
24458322,NA,COMPLETED,NA,0.369,1e-4,91,1,IW,11,1,01:35:42,NA,4
24458326,NA,COMPLETED,NA,0.369,1e-4,95,1,IW,11,1,00:57:01,NA,4
24458327,NA,COMPLETED,NA,0.369,1e-4,96,1,IW,11,1,01:08:19,NA,4
24458323,NA,COMPLETED,NA,0.369,1e-4,92,1,IW,11,1,00:47:13,NA,4
24458325,NA,COMPLETED,NA,0.369,1e-4,94,1,IW,11,1,00:24:03,NA,4
24458328,NA,COMPLETED,NA,0.369,1e-4,97,1,IW,11,1,00:00:11,NA,4
24458330,NA,COMPLETED,NA,0.369,1e-4,99,1,IW,11,1,00:40:24,NA,4
24458329,NA,COMPLETED,NA,0.369,1e-4,98,1,IW,11,1,00:50:59,NA,4
24458332,NA,COMPLETED,NA,0.091,1e-4,1,1,IW,11,1,03:19:52,NA,4
24458333,NA,COMPLETED,NA,0.091,1e-4,2,1,IW,11,1,02:52:02,NA,4
24458331,NA,COMPLETED,NA,0.369,1e-4,100,1,IW,11,1,00:33:06,NA,4
24458334,NA,COMPLETED,NA,0.091,1e-4,3,1,IW,11,1,04:41:55,NA,4
24458335,NA,COMPLETED,NA,0.091,1e-4,4,1,IW,11,1,02:22:54,NA,4
24458336,NA,COMPLETED,NA,0.091,1e-4,5,1,IW,11,1,03:36:05,NA,4
24458337,NA,FAILED,NA,0.091,1e-4,6,1,IW,11,1,08:49:27,NA,4
24458338,NA,COMPLETED,NA,0.091,1e-4,7,1,IW,11,1,07:15:56,NA,4
24458339,NA,COMPLETED,NA,0.091,1e-4,8,1,IW,11,1,05:14:33,NA,4
24458340,NA,COMPLETED,NA,0.091,1e-4,9,1,IW,11,1,05:53:14,NA,4
